,,,,,,,,,,,,ïΩãœíl,ç≈è¨íl,ç≈ëÂíl
0.628028944,0.859089042,0.870083947,0.817391247,0.795386073,0.860805233,0.65708837,0.860300019,0.755582492,0.704533715,0.774568476,0.855504995,0.786530213,0.628028944,0.870083947
0.673533578,0.868606935,0.738927587,0.714362521,0.923109678,0.717539039,0.699707774,0.886847688,0.724549691,0.743404118,0.811794156,0.733626377,0.769667428,0.673533578,0.923109678
0.800791819,0.906873083,0.714568056,0.88110413,0.848474137,0.814154348,0.692548105,0.862262279,0.72910587,0.703533353,0.798475514,0.754160828,0.79217096,0.692548105,0.906873083
0.749336649,0.826539567,0.863806091,0.794809957,0.835976707,0.775957469,0.820799442,0.905637932,0.884645872,0.835495148,0.924729739,0.94969682,0.847285949,0.749336649,0.94969682
0.72775863,0.908942469,0.752466657,0.758538079,0.941426559,0.718987194,0.889145779,0.900218632,0.805124339,0.811569422,0.839506255,0.803020969,0.821392082,0.718987194,0.941426559
0.738458058,0.790573155,0.709754396,0.829489228,0.81390812,0.796124481,0.871416592,0.812782883,0.782754328,0.873790343,0.794149338,0.821905551,0.802925539,0.709754396,0.873790343
0.810000139,0.887429217,0.709735831,0.8656274,0.909981432,0.805709094,0.755929389,0.809800297,0.85841638,0.864484264,0.759015349,0.916946298,0.829422924,0.709735831,0.916946298
0.790878204,0.968872034,0.758598362,0.785320354,0.913675032,0.737061195,0.970752661,0.931902055,0.861055196,0.874986128,0.898914801,0.814557927,0.858881163,0.737061195,0.970752661
0.824336848,0.773811336,0.818569366,0.779379535,0.828007718,0.900766169,0.885907623,0.962453511,0.873517666,0.939919794,0.910691862,0.851808236,0.862430805,0.773811336,0.962453511
0.888396544,0.943131404,0.800718287,0.8403882,0.947438774,0.956128688,0.796130588,0.954354201,0.900898503,0.861649737,0.945664177,0.893549643,0.894037395,0.796130588,0.956128688
0.662641126,0.813773753,0.719906667,0.834953633,0.891444532,0.834437976,0.796636779,0.905718032,0.854074998,0.849988155,0.907602904,0.962320278,0.836124903,0.662641126,0.962320278
0.847464378,0.866534155,0.890134268,0.843165402,0.934608854,0.892242953,0.759114474,0.879991022,0.935455701,0.824455912,0.924148027,0.959959772,0.87977291,0.759114474,0.959959772
0.709249364,0.945938516,0.802996605,0.795900128,0.895165381,0.924491058,0.745300352,0.826009679,0.764357713,0.761163921,0.833167305,0.762217966,0.813829832,0.709249364,0.945938516
0.70512579,0.876750708,0.708592605,0.811727353,0.90746682,0.773378322,0.732538676,0.787925812,0.866805404,0.849873972,0.772869181,0.883672623,0.806393939,0.70512579,0.90746682
0.760759835,0.821928671,0.766338378,0.85205567,0.917159853,0.796975334,0.738424882,0.876048903,0.819641907,0.71979879,0.88805427,0.806296929,0.813623619,0.71979879,0.917159853
0.736263606,0.965972656,0.802886619,0.738302738,0.93128242,0.854597586,0.888903502,0.922943274,0.945241079,0.808552766,0.778481535,0.891935092,0.855446906,0.736263606,0.965972656
0.838835576,0.79378578,0.750119543,0.740723383,0.829062714,0.751960027,0.874085903,0.939979842,0.780247377,0.771952534,0.845353418,0.807991628,0.810341477,0.740723383,0.939979842
0.650155974,0.718222966,0.762829074,0.782353584,0.89907491,0.772363872,0.806503144,0.872320549,0.757329959,0.807787022,0.788278835,0.757607724,0.781235634,0.650155974,0.89907491
0.887981088,0.941089855,0.745542632,0.811670373,0.935112304,0.812635522,0.902716365,0.878845901,0.781084132,0.768514387,0.861577506,0.854539968,0.848442503,0.745542632,0.941089855
0.828809624,0.874931437,0.815823283,0.717098939,0.844327937,0.772304382,0.8170923,0.940041394,0.72773877,0.753198741,0.809060539,0.746788543,0.803934657,0.717098939,0.940041394
0.691928563,0.909697196,0.867807773,0.759755155,0.905448912,0.878874863,0.779192838,0.887110896,0.877462732,0.819117278,0.929425275,0.969969865,0.856315945,0.691928563,0.969969865
0.695199204,0.796480978,0.789254028,0.817646503,0.938880144,0.836711106,0.835441318,0.905493124,0.900548973,0.928836099,0.845160907,0.830921412,0.84338115,0.695199204,0.938880144
0.734093152,0.883182957,0.779072499,0.880670548,0.915507539,0.917482279,0.839593369,0.899612395,0.910194567,0.748468028,0.799829348,0.861998224,0.847475409,0.734093152,0.917482279
0.754558292,0.911276356,0.89350831,0.893776211,0.967695648,0.893209038,0.858735905,0.885232474,0.788035414,0.765056151,0.849539786,0.86734899,0.860664381,0.754558292,0.967695648
,,,,,,,,,,,,0.830605417,0.628028944,0.970928635
